year,month,day,hour,pm25_hourly
2013,1,19,23,18.908333333
2013,1,19,24,6.19
2013,1,20,1,17.923333333
2013,1,20,2,15.621666667
2013,1,20,3,19.018333333
2013,1,20,4,16.438333333
2013,1,20,5,14.616666667
2013,1,20,6,13.043333333
2013,1,20,7,12.341666667
2013,1,20,8,12.31
2013,1,20,9,12.8
2013,1,20,10,9.72
2013,1,20,11,7.1116666667
2013,1,20,12,19.446666667
2013,1,20,13,5.6
2013,1,20,14,5.6383333333
2013,1,20,15,5.9116666667
2013,1,20,16,5.59
2013,1,20,17,5.615
2013,1,20,18,6.3833333333
2013,1,20,19,7.785
2013,1,20,20,10.46
2013,1,20,21,13.303333333
2013,1,20,22,12.765
2013,1,20,23,14.821666667
2013,1,20,24,5.4333333333
2013,1,21,1,14.865
2013,1,21,2,14.69
2013,1,21,3,13.936666667
2013,1,21,4,14.248333333
2013,1,21,5,11.555
2013,1,21,6,11.616666667
2013,1,21,7,13.368333333
2013,1,21,8,13.781666667
2013,1,21,9,13.51
2013,1,21,10,10.92
2013,1,21,11,5.425
2013,1,21,12,14.323333333
2013,1,21,13,6.0483333333
2013,1,21,14,6.1583333333
2013,1,21,15,5.8966666667
2013,1,21,16,6.695
2013,1,21,17,5.2116666667
2013,1,21,18,4.5633333333
2013,1,21,19,4.0966666667
2013,1,21,20,3.6616666667
2013,1,21,21,3.3466666667
2013,1,21,22,2.9966666667
2013,1,21,23,3.1
2013,1,21,24,4.65
2013,1,22,1,4.42
2013,1,22,2,3.9933333333
2013,1,22,3,3.7466666667
2013,1,22,4,4.0566666667
2013,1,22,5,3.8433333333
2013,1,22,6,4.235
2013,1,22,7,4.88
2013,1,22,8,5.4683333333
2013,1,22,9,5.4433333333
2013,1,22,10,5.15
2013,1,22,11,4.6716666667
2013,1,22,12,3.2966666667
2013,1,22,13,4.1083333333
2013,1,22,14,4.8333333333
2013,1,22,15,5.4816666667
2013,1,22,16,5.1583333333
2013,1,22,17,5.705
2013,1,22,18,6.9833333333
2013,1,22,19,8.7483333333
2013,1,22,20,9.375
2013,1,22,21,7.505
2013,1,22,22,6.75
2013,1,22,23,7.4416666667
2013,1,22,24,3.9233333333
2013,1,23,1,5.47
2013,1,23,2,5.44
2013,1,23,3,5.0166666667
2013,1,23,4,5.1733333333
2013,1,23,5,5.5633333333
2013,1,23,6,6.2133333333
2013,1,23,7,6.9033333333
2013,1,23,8,7.865
2013,1,23,9,7.4583333333
2013,1,23,10,8.7683333333
2013,1,23,11,9.435
2013,1,23,12,6.4583333333
2013,1,23,13,8.91
2013,1,23,14,9.72
2013,1,23,15,9.915
2013,1,23,16,12.041666667
2013,1,23,17,17.291666667
2013,1,23,18,16.006666667
2013,1,23,19,14.408333333
2013,1,23,20,14.411666667
2013,1,23,21,16.35
2013,1,23,22,17.265
2013,1,23,23,17.435
2013,1,23,24,9.255
2013,1,24,1,16.365
2013,1,24,2,16.315
2013,1,24,3,17.185
2013,1,24,4,18.208333333
2013,1,24,5,18.471666667
2013,1,24,6,18.441666667
2013,1,24,7,19.541666667
2013,1,24,8,19.733333333
2013,1,24,9,19.171666667
2013,1,24,10,15.106666667
2013,1,24,11,12.85
2013,1,24,12,16.816666667
2013,1,24,13,8.3016666667
2013,1,24,14,10.505
2013,1,24,15,10.82
2013,1,24,16,8.72
2013,1,24,17,8.16
2013,1,24,18,8.0983333333
2013,1,24,19,9.1533333333
2013,1,24,20,10.136666667
2013,1,24,21,12.13
2013,1,24,22,12.885
2013,1,24,23,12.875
